transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers,date
2023-01-01T00:00:00.000,Q89,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q89,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q83,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q83,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q83,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q84,metrocard,Metrocard - Full Fare,4,4,2023-01-01
2023-01-01T00:00:00.000,Q84,metrocard,Metrocard - Other,2,0,2023-01-01
2023-01-01T00:00:00.000,Q84,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q84,omny,OMNY - Full Fare,5,2,2023-01-01
2023-01-01T00:00:00.000,Q89,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q85,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q85,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q85,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q85,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q86,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q86,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q86,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q86,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q85,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q97,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q89,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q90,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q93,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q94,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q94,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q94,omny,OMNY - Seniors & Disability,0,0,2023-01-01
